Material,Eg_eV,Density_g_cm3,DOS_at_Ef,Conductivity_Proxy,Log_Sigma,Regime
GdCuPb,0.0,10.290520401096408,1.6852,17.341584979927667,1.2390887884471284,Metal
HfGaCu,0.0,10.857430294161636,4.6649,50.64882657923462,1.7045693881756054,Metal
PrCuSn,0.0,7.414544520108704,1.812,13.435154670436972,1.1282426705588458,Metal
SrCuSb,0.0,5.770652860582183,0.0207,0.11945251421405119,-0.9228047045057646,Metal
TmCuSn,0.0,9.312576522586191,2.2591,21.038041622174465,1.323005309995747,Metal
ZrGaCu,0.0,7.53913945780284,6.2697,47.26814265858646,1.674568537591023,Metal
TmCuGe,0.0,9.286435258032816,1.6621,15.434984042376342,1.1885061848211558,Metal
GaCuO2,0.7812999999999991,6.267888091990467,0.0,1.7138877737085035e-06,-5.765992280329897,Semiconductor
BaCuSb,0.0,6.07153002268135,0.4916,2.9847641591501515,0.47491002109932984,Metal
Li2CuP,0.0,3.385050587522955,0.758,2.5658683453423996,0.409234368985625,Metal
SrCuSi,0.0,4.390374614886577,5.4151,23.7743175770723,1.376108059711579,Metal
SrCuAs,0.0038000000000000004,5.592695739863697,0.0,0.0,-10.0,Metal
K5CuAs2,0.252499999999999,2.543655837878724,0.0,0.01924808913443514,-1.7156123766037241,Semiconductor
Li2CuAs,0.0,4.303285912931473,0.5954,2.5621764325593994,0.40860903215814887,Metal
BaCuP,0.0,5.453052742222389,0.8113,4.424061689765024,0.645821174214629,Metal
SrCuP,0.0,4.872279331606139,0.6463,3.1489541320170473,0.4981663347192554,Metal
LaCuSn,0.0,7.073963348174437,1.2683,8.971907714489639,0.9528847977630693,Metal
CeCuGe,0.0,7.227443362029295,6.399,46.24841007362546,1.6650968071706955,Metal
EuCuP,0.0,6.988527246866884,1.7405,12.16353167317181,1.085059690358211,Metal
EuCuAs,0.0,7.580366129261105,1.5758,11.94514094648965,1.077191278570199,Metal
EuCuSb,0.0,7.540042088343518,1.4316,10.79432425367258,1.0331954598204547,Metal
CeCuSi,0.0,6.269769289714191,3.0934999999999997,19.395531297730848,1.2877016806391355,Metal
CeCuSn,0.0,7.424473633912525,3.8218,28.37485333408689,1.4529336253970229,Metal
AlCuO2,1.8148,5.146334199359751,13.1656,2.928664577143791e-15,-9.999987281157594,Semiconductor
ScCuO2,2.3309,4.5624290881974545,0.0,1.1994529290476326e-19,-9.999999999479083,Semiconductor
CaCuAs,0.0,4.9695828633385055,0.4361,2.1672350867019223,0.3359060231625762,Metal
HoCuSi,0.0,7.833052538824928,2.2323,17.485723182418887,1.2426835987660791,Metal
LaCuSi,0.0,5.939731832134279,1.3355,7.932511861815329,0.8994107301970349,Metal
DyCuSi,0.0,7.6597324399538955,2.3664,18.125990845906898,1.2583017563294554,Metal
TbCuSi,0.0,7.447623200863028,2.3187,17.268803915841104,1.2372622581988655,Metal
CaCuSb,0.0,5.335009201296573,0.2377,1.2681316871481954,0.10316435455175961,Metal
GdCuSi,0.0,7.230346898501586,1.8437999999999999,13.331313611457224,1.124872945073476,Metal
KCuSe,0.17619999999999902,4.193632532722193,0.0,0.13882286933252608,-0.8575389830871454,Semiconductor
KCuTe,0.6037,4.454191569724245,0.0,3.780243598940368e-05,-4.422479064468048,Semiconductor
PrCuSi,0.0,6.218508410355489,2.1143,13.14779233201461,1.118852835831784,Metal
